Pseudo-terminal will not be allocated because stdin is not a terminal.
mise $ sudo /usr/local/bin/mise --no-config --no-env --no-hooks bootstrap __inspect-system-files
unchanged  group:media                                                        present gid 3000                                                                                                                                                             present gid 3000
unchanged  group:thurstonsand                                                 present gid 1000                                                                                                                                                             present
unchanged  package:apt:ca-certificates                                        installed (20250419)                                                                                                                                                         installed (any version)
unchanged  package:apt:curl                                                   installed (8.14.1-2+deb13u4)                                                                                                                                                 installed (any version)
unchanged  package:apt:git                                                    installed (1:2.47.3-0+deb13u1)                                                                                                                                               installed (any version)
unchanged  package:apt:openssh-server                                         installed (1:10.0p1-7+deb13u4)                                                                                                                                               installed (any version)
unchanged  package:apt:sudo                                                   installed (1.9.16p2-3+deb13u2)                                                                                                                                               installed (any version)
unchanged  package:apt:smartmontools                                          installed (7.5-2~bpo13+1)                                                                                                                                                    installed (any version)
unchanged  package:apt:linux-headers-amd64                                    installed (6.12.107-1)                                                                                                                                                       installed (any version)
unchanged  package:apt:zfs-dkms                                               installed (2.3.9-0+deb13u1)                                                                                                                                                  installed (any version)
unchanged  package:apt:zfsutils-linux                                         installed (2.3.9-0+deb13u1)                                                                                                                                                  installed (any version)
unchanged  package:apt:python3                                                installed (3.13.5-1)                                                                                                                                                         installed (any version)
unchanged  package:apt:zfs-zed                                                installed (2.3.9-0+deb13u1)                                                                                                                                                  installed (any version)
unchanged  package:apt:acl                                                    installed (2.3.2-2+b1)                                                                                                                                                       installed (any version)
unchanged  package:apt:sanoid                                                 installed (2.2.0-2)                                                                                                                                                          installed (any version)
unchanged  directory:/etc/sanoid                                              directory mode 0755 uid 0 gid 0                                                                                                                                              directory mode 0755 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  directory:/etc/systemd/system/sanoid.service.d                     directory mode 0755 uid 0 gid 0                                                                                                                                              directory mode 0755 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  directory:/etc/systemd/system/sanoid-prune.service.d               directory mode 0755 uid 0 gid 0                                                                                                                                              directory mode 0755 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.snapshots.toml
unchanged  directory:/mnt/.pod042-migration                                   directory mode 0700 uid 0 gid 0                                                                                                                                              directory mode 0700 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.datasets.toml
unchanged  directory:/var/lib/pod042-storage-migration                        directory mode 0700 uid 0 gid 0                                                                                                                                              directory mode 0700 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.datasets.toml
unchanged  directory:/etc/systemd/system/zfs-scrub@.service.d                 directory mode 0755 uid 0 gid 0                                                                                                                                              directory mode 0755 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
unchanged  directory:/usr/local/lib/python3.13/dist-packages                  directory mode 0755 uid 0 gid 0                                                                                                                                              directory mode 0755 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.maintenance.toml
unchanged  directory:/etc/alerting                                            directory mode 0700 uid 0 gid 0                                                                                                                                              directory mode 0700 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.alerting.toml
unchanged  directory:/usr/local/bin                                           directory mode 0755 uid 0 gid 0                                                                                                                                              directory mode 0755 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.alerting.toml
unchanged  directory:/etc/mise                                                directory mode 0755 uid 0 gid 0                                                                                                                                              directory mode 0755 owner root group root                                                      ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.base.toml
unchanged  file:/etc/systemd/system/pod042-heartbeat.service                  file mode 0644 uid 0 gid 0                                                                                                                                                   file mode 0644 owner root group root                                                           ~/code/ansiblonomicon/bootstrap/targets/pod042/mise.monitoring.toml
